  Date        	Time        	Fo	Fm	Blank	Fv	Yield

Configuration: Ward12

04/24/12	04:00:00	4664	6160	672	1496	0.242
04/24/12	04:05:00	4733	6394	672	1661	0.259
04/24/12	04:10:00	4706	6052	672	1346	0.222
04/24/12	04:15:00	4565	6031	672	1466	0.243
04/24/12	04:20:00	4474	5971	672	1497	0.250
04/24/12	04:25:00	4557	6008	672	1451	0.241
04/24/12	04:30:00	4717	6165	672	1448	0.234
04/24/12	04:35:00	4638	6119	672	1481	0.242
04/24/12	04:40:00	4741	6243	672	1502	0.240
04/24/12	04:45:00	4568	6026	672	1458	0.241
04/24/12	04:50:00	4525	6004	672	1479	0.246
04/24/12	04:55:00	4610	6050	672	1440	0.238
04/24/12	05:00:00	4825	6366	672	1541	0.242
04/24/12	05:05:00	4649	6155	672	1506	0.244
04/24/12	05:10:00	4537	5972	672	1435	0.240
04/24/12	05:15:00	4742	6166	672	1424	0.230
04/24/12	05:20:00	4481	6044	672	1563	0.258
04/24/12	05:25:00	4305	5783	672	1478	0.255
04/24/12	05:30:00	4532	6069	672	1537	0.253
04/24/12	05:35:00	4602	6171	672	1569	0.254
04/24/12	05:40:00	4660	6123	672	1463	0.238
04/24/12	05:45:00	4338	5671	672	1333	0.235
04/24/12	05:50:00	4694	6177	672	1483	0.240
04/24/12	05:55:00	4826	6254	672	1428	0.228
04/24/12	06:00:00	4555	6039	672	1484	0.245
04/24/12	06:05:00	4951	6580	672	1629	0.247
04/24/12	06:10:00	4923	6519	672	1596	0.244
04/24/12	06:15:00	4942	6631	672	1689	0.254
04/24/12	06:20:00	4863	6509	672	1646	0.252
04/24/12	06:25:00	4902	6721	672	1819	0.270
04/24/12	06:30:00	4965	6720	672	1755	0.261
04/24/12	06:35:00	4861	6485	672	1624	0.250
